P		Reliability
0.0		0.0
0.02		2.281387158886812E-4
0.04		0.0017325668028016071
0.06		0.005543576019831763
0.08		0.012441396393761756
0.1		0.02297787039999961
0.12		0.03749924944814784
0.14		0.05616956460508702
0.16		0.07899409532902762
0.18		0.10584252692356087
0.2		0.13647144959999974
0.22		0.17054590960780033
0.24		0.207659776005416
0.26		0.24735473544584144
0.28		0.28913777199149276
0.3		0.3324970295999962
0.32		0.37691599168519113
0.34		0.421885945204035
0.36		0.4669167261998558
0.38		0.5115457697928991
0.4		0.5553455104000035
0.42		0.597929197634731
0.44		0.6389552100359955
0.46		0.6781299626458639
0.48		0.7152095156544086
0.5		0.75
0.52		0.782356982105596
0.54		0.8121838939942234
0.56		0.8394296570088449
0.58		0.8640856274111806
0.6		0.8861819903999983
0.62		0.9057837257204939
0.64		0.922986263180525
0.66		0.9379109401968949
0.68		0.9507003661121796
0.7		0.9615137895999958
0.72		0.9705225561623312
0.74		0.9779057326646363
0.76		0.9838459652022361
0.78		0.988525625493533
0.8		0.9921232896000003
0.82		0.9948105812289852
0.84		0.996749400331296
0.86		0.9980895463101191
0.88		0.9989667340596922
0.9		0.9995009904000017
0.92		0.999795408415973
0.94		0.9999352278952418
0.96		0.9999872016358202
0.98		0.999999200012795
1.0		1.0

******** Constant Value of p *********

K		Reliability
0		0.9999872016083609
1		0.9999872016083609
2		0.9999892019933991
3		1.0000352943168318
4		0.9999832008382843
5		0.9999872885816741
6		1.0011896889978986
7		1.00123586481571
8		1.0010955944182425
9		0.9988312340160861
10		0.9977311035213416
11		0.9988393155716838
12		0.999947451085516
13		1.0012018681538666
14		0.9988393257185757
15		0.9999957175956578
16		1.0276911689105475
17		1.0253326272453331
18		1.0228398163377663
19		1.0229820105837621
20		1.0229820975570754
21		1.026406443281388
22		1.056358159527098
23		1.0577468496066469
24		1.0045982922719323
25		1.0044940183415239
26		1.034694203148677
27		1.0081950674555624
28		1.0092710370946312
29		0.978353539611973
30		0.9795179401320329
31		0.9793779168837233
32		0.9781174844546087
33		0.94940624926151
34		0.9480557334596192
35		0.9758212054718025
36		0.9456209302124016
37		0.9491877067501089
38		0.9500454602907734
39		1.001875243413553
40		0.9745066126445281
41		0.33867599709909346
42		0.36431746216609984
43		0.39329530474759544
44		0.3644294482785967
45		0.33922907265518626
46		0.34134881414150126
47		0.34255306534867824
48		0.3414068564462387
49		1.0042154468313234
50		1.033834522135594
